"Feb 18, 2021, 12 AMEDT",0.23,0.24,+4.35,"Nov 02, 2020, 12 AMEDT",0.88,0.94,+6.7,"Aug 06, 2020, 12 AMEDT",0.46,0.54,+16.63,"May 07, 2020, 12 AMEDT",0.54,0.7,+29.87
"Feb 03, 2021, 12 AMEDT",3.81,5.87,+53.99,"Nov 04, 2020, 12 AMEDT",1.66,2.94,+76.79,"Aug 04, 2020, 12 AMEDT",1.55,2.46,+58.81,"May 05, 2020, 12 AMEDT",3.5,3.54,+1.26
"Feb 02, 2021, 12 AMEDT",15.9,22.3,+40.25,"Oct 29, 2020, 12 AMEDT",11.29,16.4,+45.27,"Jul 30, 2020, 12 AMEDT",8.21,10.13,+23.42,"Apr 28, 2020, 12 AMEDT",10.33,9.87,-4.41
"Feb 02, 2021, 12 AMEDT",15.99,22.3,+39.5,"Oct 29, 2020, 12 AMEDT",11.21,16.4,+46.31,"Jul 30, 2020, 12 AMEDT",8.34,10.13,+21.43,"Apr 28, 2020, 12 AMEDT",10.38,9.87,-4.91
"Jan 28, 2021, 12 AMEDT",1.02,0.99,-2.65,"Oct 30, 2020, 12 AMEDT",1.16,1.19,+2.94,"Jul 28, 2020, 12 AMEDT",1.06,1.09,+3.12,"Apr 30, 2020, 12 AMEDT",0.98,1.09,+11
"Feb 02, 2021, 12 AMEDT",7.23,14.09,+94.86,"Oct 29, 2020, 12 AMEDT",7.41,12.37,+66.96,"Jul 30, 2020, 12 AMEDT",1.46,10.3,+605.48,"Apr 30, 2020, 12 AMEDT",6.25,5.01,-19.83
"Feb 02, 2021, 12 AMEDT",0.17,0.18,+1.74,"Nov 05, 2020, 12 AMEDT",0.15,0.16,+6.76,"Aug 18, 2020, 12 AMEDT",0.19,0.19,-1.04,"May 11, 2020, 12 AMEDT",0.16,0.15,-5.66
"Feb 18, 2021, 12 AMEDT",0.42,0.46,+9.79,"Nov 04, 2020, 12 AMEDT",1.47,1.47,-0.27,"Aug 06, 2020, 12 AMEDT",0.87,0.98,+12.13,"May 11, 2020, 12 AMEDT",0.7,0.59,-16.19
"Jan 28, 2021, 12 AMEDT",-4.11,-3.86,+6.17,"Oct 18, 2020, 12 AMEDT",-5.88,-5.54,+5.73,"Jul 23, 2020, 12 AMEDT",-7.7,-7.82,-1.51,"Apr 30, 2020, 12 AMEDT",-2.33,-2.65,-13.83
"Feb 25, 2021, 12 AMEDT",0.79,0.87,+10.27,"Oct 22, 2020, 12 AMEDT",1.48,1.47,-0.54,"Aug 06, 2020, 12 AMEDT",1.06,1.08,+1.79,"May 06, 2020, 12 AMEDT",1.1,1.02,-6.85
